"Item","Quantity","Customer","Remarks","Date"
"Orange","10","John Doe","Send 20 boxes to JD Updatess","2022-01-26"
"Orange","30","John Doe","Send 30 boxes to JD","2022-01-26"
"Chocos","50","John Doe","Test","2022-02-19"
"Chocos","4000","John Doe","Test","2022-04-24"
"Chocos","5000","John Doe","Test","2022-04-24"
"Milo","20","John Doe","Purchase Choco","2022-04-24"
"Vanilla","100","John Doe","Purchase Vanilla","2022-04-24"
"Orange","5","John Doe","Send 20 boxes to JD","2022-04-24"
"Orange","10","John Doe","Send 20 boxes to JD","2022-04-24"
"Orange","5","John Doe","Send 20 boxes to JD","2022-04-24"
"Orange","10","John Doe","Send 20 boxes to JD Update","2022-04-24"
"Chocos","1","John Doe","Test","2022-04-25"
